Designator,Mid X,Mid Y,Layer,Rotation
C1,139.19,-114.17,Top,90
C2,147.59,-110.65,Top,180
C3,150.29,-99.62,Top,180
C4,137.33,-98.22,Top,-90
C5,133.17,-98.7,Top,0
C6,131.67,-108.765,Top,0
C7,131.82,-110.5,Top,0
C8,131.32,-112.665,Top,0
C9,133.12,-91.725,Top,0
C10,139.99,-96.69,Top,180
C11,132.7,-101.47,Top,180
C12,131.965,-106.875,Top,180
C13,146.36,-113.3,Top,-90
C14,150.27,-101,Top,0
C15,163.68,-110.08,Top,90
C23,87.05,-101.75,Top,-90
C24,90.71,-101.79,Top,-90
C25,94.43875,-104.23125,Top,180
C26,101.51875,-109.13125,Top,180
C27,106.00875,-117.20625,Top,90
C28,99.28875,-107.98125,Top,180
C29,109.50875,-117.20625,Top,90
C30,171.07,-124.975,Top,-90
C33,114.75875,-111.28125,Top,90
C34,120.78375,-114.70625,Top,0
C35,120.75375,-112.90625,Top,0
C36,154.87,-140.55,Top,180
C37,145.57,-132.19,Top,90
C38,151.72,-140.575,Top,0
C39,145.345,-92.325,Top,0
C40,142.27,-93.28,Top,90
C41,168.695,-136.75,Top,-90
C42,169.845,-136.73,Top,-90
C43,170.845,-133.95,Top,0
C44,168.275,-134.6,Top,180
C45,145.1,-116.25,Top,180
C46,145.13,-117.35,Top,180
C47,139.57,-116.46,Top,0
C48,130.37,-141.08,Top,-90
C49,128.295,-141.08,Top,-90
C50,135.09,-125.45,Top,0
C51,132.47,-135.205,Top,-90
C52,129.895,-135.005,Top,-90
C53,135.045,-136.35,Top,180
C54,131.17,-135,Top,90
C55,111.69,-85.34,Top,180
C56,91.43375,-96.73125,Top,180
D2,100.95875,-97.38125,Top,90
FB1,133.67,-112.565,Top,-90
FB2,127.37,-137.65,Top,180
H1,72.37,-142.65,Top,0
H2,171.87,-142.05,Top,0
H3,72.37,-76.65,Top,0
H4,172.37,-76.65,Top,0
J1,169.87,-115.7,Top,90
J2,135.04,-79.925,Top,90
J3,123.37,-141.65,Top,180
J4,134.97,-141.725,Top,180
J5,165.22,-101.975,Top,-90
J6,115.72,-141.625,Top,180
J7,108.045,-141.625,Top,180
J8,113.65,-79.925,Top,0
J9,80.58875,-111.58125,Top,90
J10,80.58875,-96.78125,Top,90
L2,107.58875,-109.91875,Top,-90
Q1,107.67,-136.6,Top,-90
R1,125.12,-85.15,Top,0
R2,162.3,-117.88,Top,180
R3,162.395,-114.45,Top,180
R4,161.43,-110.35,Top,90
R5,162.005,-108.8,Top,0
R6,147.78,-95.47,Top,-90
R7,166.645,-125.85,Top,-90
R8,167.845,-125.84,Top,-90
R9,128.52,-135.05,Top,90
R10,127.34,-135.43,Top,90
R11,125.72,-124.95,Top,90
R12,89.63375,-108.88125,Top,90
R13,89.60875,-111.05625,Top,90
R14,91.48875,-111.63125,Top,90
R15,99.33875,-109.13125,Top,180
R16,113.45875,-115.71875,Top,90
R17,113.45875,-117.98125,Top,90
R18,134.57,-137.975,Top,90
R19,131.195,-137.725,Top,90
R20,108.195,-133.025,Top,0
R21,110.47,-134.05,Top,180
R22,113.69,-83.225,Top,0
R23,111.69,-84.22,Top,180
R24,87.58375,-96.75625,Top,0
R25,91.44875,-95.30625,Top,0
SW1,124.82,-79.65,Top,180
SW2,132.97,-87.275,Top,90
U1,159.17,-115.75,Top,180
U2,142.37,-104.65,Top,0
U3,169.1602,-131.3652,Top,0
U4,117.53875,-113.71875,Top,0
U5,94.33875,-107.63125,Top,0
U6,154.295,-131.6625,Top,90
U7,144.92,-95,Top,0
U8,142.22,-114.31,Top,0
U9,130.845,-130.038,Top,-90
Y1,131.89,-104.15,Top,90
Y2,131.82,-123.3,Top,0
